[Timex Trainer Data File]
[session data]
version=1.2_mm/dd/yyyy
Sessiondate=1/7/2005 12:00:43
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=3.999
duration=2677
description=Sample workout - a run near Timex building^^speed/distance/position/altitude PLUS Heart Rate
sessionType=20
maxHR=192
maxSpeed=7.8
avgHR=169
avgSpeed=5.4
fromDataRecorder=True
TimeZone1=60
TimeZone2=120
TimeZone3=60
TimeZone4=240
TimeZone5=2160

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag,longitude,latitude,altitude,acqstatus,trueheading,magheading
"548","176","0","0","0","0","0","0","0","0","0"
"550","177","0","0","0","0","0","0","0","0","0"
"552","177","0","0","0","0","0","0","0","0","0"
"554","177","0","0","0","0","0","0","0","0","0"
"556","179","0","0","0","0","0","0","0","0","0"
"558","180","0","0","0","0","0","0","0","0","0"
"560","179","0","0","0","0","0","0","0","0","0"
"562","180","0","0","0","0","0","0","0","0","0"
"564","179","0","0","0","0","0","0","0","0","0"
"566","179","0","0","0","0","0","0","0","0","0"
"568","179","0","0","0","0","0","0","0","0","0"
"570","179","0","0","0","0","0","0","0","0","0"
"572","179","0","0","0","0","0","0","0","0","0"
"574","179","0","0","0","0","0","0","0","0","0"
"576","179","0","0","0","0","0","0","0","0","0"
"578","181","0","0","0","0","0","0","0","0","0"
"580","181","0","0","0","0","0","0","0","0","0"
"582","181","0","0","0","0","0","0","0","0","0"
"584","181","0","0","0","0","0","0","0","0","0"
"586","181","0","0","0","0","0","0","0","0","0"
"588","183","0","0","0","0","0","0","0","0","0"
"590","183","0","0","0","0","0","0","0","0","0"
"592","183","0","0","0","0","0","0","0","0","0"
"594","183","0","0","0","0","0","0","0","0","0"
"596","183","0","0","0","0","0","0","0","0","0"
"598","183","0","0","0","0","0","0","0","0","0"
"600","184","0","0","0","0","0","0","0","0","0"
"602","183","0","0","0","0","0","0","0","0","0"
"604","183","0","0","0","0","0","0","0","0","0"
"606","183","0","0","0","0","0","0","0","0","0"
"608","183","0","0","0","0","0","0","0","0","0"
"610","183","0","0","0","0","0","0","0","0","0"
"612","183","0","0","0","0","0","0","0","0","0"
"614","183","0","0","0","0","0","0","0","0","0"
"616","181","0","0","0","0","0","0","0","0","0"
"618","181","0","0","0","0","0","0","0","0","0"
