[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/3/2005 2:45:06 PM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=11.2
duration=5326
description=Sample Workout - Heart Rate and Speed & Distance
sessionType=20
maxHR=179
maxSpeed=15.8
avgHR=153
avgSpeed=7.34
fromDataRecorder=True
TimeZone1=240
TimeZone2=360
TimeZone3=1080
TimeZone4=1620
TimeZone5=2040

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
1968,163,0,0,0
1970,161,0,0,0
1972,161,0,0,0
1974,163,0,0,0
1976,161,0,0,0
1978,161,0,0,0
1980,161,0,0,0
1982,160,0,0,0
1984,161,0,0,0
1986,163,0,0,0
1988,163,0,0,0
1990,163,0,0,0
1992,163,0,0,0
1994,163,0,0,0
1996,163,0,0,0
1998,163,0,0,0
2000,163,0,0,0
2002,163,0,0,0
2004,165,0,0,0
2006,165,0,0,0
2008,165,0,0,0
2010,164,0,0,0
2012,164,0,0,0
2014,164,0,0,0
2016,164,0,0,0
2018,164,0,0,0
2020,164,0,0,0
2022,163,0,0,0
2024,163,0,0,0
2026,163,0,0,0
2028,163,0,0,0
2030,164,0,0,0
2032,164,0,0,0
2034,164,0,0,0
2036,163,0,0,0
2038,163,0,0,0
2040,163,0,0,0
2042,163,0,0,0
2044,163,0,0,0
2046,163,0,0,0
2048,164,0,0,0
2050,165,0,0,0
2052,165,0,0,0
2054,165,0,0,0
2056,164,0,0,0
2058,164,0,0,0
2060,164,0,0,0
2062,164,0,0,0
2064,164,0,0,0
2066,164,0,0,0
2068,164,0,0,0
2070,164,0,0,0
2072,164,0,0,0
2074,164,0,0,0
2076,164,0,0,0
2078,164,0,0,0
2080,163,0,0,0
2082,163,0,0,0
2084,163,0,0,0
2086,163,0,0,0
2088,163,0,0,0
2090,163,0,0,0
2092,163,0,0,0
2094,163,0,0,0
2096,163,0,0,0
2098,161,0,0,0
2100,161,0,0,0
2102,164,0,0,0
2104,164,0,0,0
2106,164,0,0,0
2108,164,0,0,0
2110,165,0,0,0
2112,165,0,0,0
2114,165,0,0,0
2116,165,0,0,0
2118,165,0,0,0
2120,164,0,0,0
2122,164,0,0,0
2124,163,0,0,0
2126,163,0,0,0
2128,163,0,0,0
2130,163,0,0,0
2132,163,0,0,0
2134,163,0,0,0
2136,163,0,0,0
2138,163,0,0,0
2140,163,0,0,0
2142,161,0,0,0
2144,161,0,0,0
2146,163,0,0,0
2148,161,0,0,0
2150,161,0,0,0
2152,161,0,0,0
2154,161,0,0,0
2156,161,0,0,0
2158,161,0,0,0
2160,161,0,0,0
2162,161,0,0,0
2164,161,0,0,0
2166,161,0,0,0
2168,161,0,0,0
2170,161,0,0,0
2172,161,0,0,0
2174,161,0,0,0
2176,161,0,0,0
2178,161,0,0,0
2180,161,0,0,0
2182,163,0,0,0
2184,164,0,0,0
2186,163,0,0,0
2188,163,0,0,0
2190,163,0,0,0
2192,163,0,0,0
2194,163,0,0,0
2196,160,0,0,0
2198,159,0,0,0
2200,157,0,0,0
2202,157,0,0,0
2204,157,0,0,0
2206,157,0,0,0
2208,157,0,0,0
2210,159,0,0,0
2212,159,0,0,0
2214,159,0,0,0
2216,159,0,0,0
2218,159,0,0,0
2220,159,0,0,0
2222,159,0,0,0
2224,159,0,0,0
2226,161,0,0,0
2228,163,0,0,0
2230,163,0,0,0
2232,163,0,0,0
2234,163,0,0,0
2236,163,0,0,0
2238,163,0,0,0
2240,163,0,0,0
2242,163,0,0,0
2244,160,0,0,0
2246,160,0,0,0
2248,161,0,0,0
2250,161,0,0,0
2252,161,0,0,0
2254,161,0,0,0
2256,161,0,0,0
2258,161,0,0,0
2260,161,0,0,0
2262,161,0,0,0
2264,163,0,0,0
2266,163,0,0,0
2268,163,0,0,0
2270,163,0,0,0
2272,163,0,0,0
2274,164,0,0,0
2276,164,0,0,0
2278,164,0,0,0
2280,164,0,0,0
2282,164,0,0,0
2284,164,0,0,0
2286,164,0,0,0
2288,163,0,0,0
2290,163,0,0,0
2292,163,0,0,0
2294,164,0,0,0
2296,164,0,0,0
2298,164,0,0,0
2300,164,0,0,0
2302,161,0,0,0
2304,161,0,0,0
2306,161,0,0,0
2308,161,0,0,0
2310,163,0,0,0
2312,161,0,0,0
2314,161,0,0,0
2316,161,0,0,0
2318,161,0,0,0
2320,161,0,0,0
2322,161,0,0,0
2324,163,0,0,0
2326,161,0,0,0
2328,164,0,0,0
2330,164,0,0,0
2332,164,0,0,0
2334,164,0,0,0
2336,164,0,0,0
2338,164,0,0,0
2340,164,0,0,0
2342,163,0,0,0
2344,163,0,0,0
2346,163,0,0,0
2348,163,0,0,0
2350,163,0,0,0
2352,161,0,0,0
2354,161,0,0,0
2356,161,0,0,0
2358,163,0,0,0
2360,164,0,0,0
2362,164,0,0,0
2364,164,0,0,0
2366,164,0,0,0
2368,164,0,0,0
2370,164,0,0,0
2372,164,0,0,0
2374,163,0,0,0
2376,163,0,0,0
2378,163,0,0,0
2380,163,0,0,0
