[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/1/2005 9:27:26 AM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=0
duration=3298
description=Sample Workout - Heart Rate Only
sessionType=0
maxHR=111
maxSpeed=0
avgHR=81
avgSpeed=0
fromDataRecorder=True
TimeZone1=2940
TimeZone2=360
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
1600,82,0,0,0
1602,80,0,0,0
1604,82,0,0,0
1606,82,0,0,0
1608,80,0,0,0
1610,78,0,0,0
1612,74,0,0,0
1614,74,0,0,0
1616,80,0,0,0
1618,80,0,0,0
1620,78,0,0,0
1622,74,0,0,0
1624,73,0,0,0
1626,75,0,0,0
1628,76,0,0,0
1630,80,0,0,0
1632,82,0,0,0
1634,85,0,0,0
1636,89,0,0,0
1638,89,0,0,0
1640,87,0,0,0
1642,87,0,0,0
1644,86,0,0,0
1646,85,0,0,0
1648,87,0,0,0
1650,89,0,0,0
1652,89,0,0,0
1654,85,0,0,0
1656,76,0,0,0
1658,73,0,0,0
1660,77,0,0,0
1662,77,0,0,0
1664,85,0,0,0
1666,86,0,0,0
1668,77,0,0,0
1670,74,0,0,0
1672,74,0,0,0
1674,79,0,0,0
1676,81,0,0,0
1678,81,0,0,0
1680,83,0,0,0
1682,81,0,0,0
1684,84,0,0,0
1686,84,0,0,0
1688,84,0,0,0
1690,87,0,0,0
1692,89,0,0,0
1694,89,0,0,0
1696,79,0,0,0
1698,78,0,0,0
1700,81,0,0,0
1702,84,0,0,0
1704,84,0,0,0
1706,87,0,0,0
1708,86,0,0,0
1710,86,0,0,0
1712,83,0,0,0
1714,84,0,0,0
1716,84,0,0,0
1718,85,0,0,0
1720,89,0,0,0
1722,89,0,0,0
1724,89,0,0,0
1726,89,0,0,0
1728,83,0,0,0
1730,81,0,0,0
1732,83,0,0,0
1734,84,0,0,0
1736,82,0,0,0
1738,76,0,0,0
1740,79,0,0,0
1742,82,0,0,0
1744,84,0,0,0
1746,83,0,0,0
1748,78,0,0,0
1750,81,0,0,0
1752,81,0,0,0
1754,87,0,0,0
1756,91,0,0,0
1758,93,0,0,0
1760,93,0,0,0
1762,93,0,0,0
1764,89,0,0,0
1766,89,0,0,0
1768,89,0,0,0
1770,95,0,0,0
1772,95,0,0,0
1774,96,0,0,0
1776,96,0,0,0
1778,96,0,0,0
1780,95,0,0,0
1782,98,0,0,0
1784,95,0,0,0
1786,95,0,0,0
1788,84,0,0,0
1790,84,0,0,0
1792,84,0,0,0
1794,89,0,0,0
1796,92,0,0,0
1798,88,0,0,0
1800,82,0,0,0
1802,78,0,0,0
1804,81,0,0,0
1806,84,0,0,0
1808,84,0,0,0
1810,85,0,0,0
1812,87,0,0,0
1814,87,0,0,0
1816,90,0,0,0
1818,88,0,0,0
1820,84,0,0,0
1822,84,0,0,0
1824,87,0,0,0
1826,84,0,0,0
1828,83,0,0,0
1830,83,0,0,0
1832,85,0,0,0
1834,88,0,0,0
1836,88,0,0,0
1838,96,0,0,0
1840,92,0,0,0
1842,80,0,0,0
1844,80,0,0,0
1846,80,0,0,0
1848,87,0,0,0
1850,89,0,0,0
1852,89,0,0,0
1854,84,0,0,0
1856,84,0,0,0
