[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/2/2005 8:27:02 PM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=5.21
duration=2580
description=Sample Workout - Speed & Distance Only
sessionType=1
maxHR=0
maxSpeed=18.1
avgHR=0
avgSpeed=6.9
fromDataRecorder=True
TimeZone1=0
TimeZone2=0
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
1902.81,0,5,3.925,1
1906.38,0,3.9,3.929,1
1909.95,0,4,3.933,1
1913.52,0,3.9,3.937,1
1917.09,0,3.9,3.941,1
1920.66,0,3.9,3.945,1
1924.23,0,4.4,3.949,1
1927.8,0,4.5,3.954,1
1931.37,0,4.6,3.959,1
1934.94,0,4.6,3.963,1
1938.51,0,4.5,3.968,1
1942.08,0,3.1,3.972,1
1945.65,0,8.7,3.977,1
1949.22,0,8.7,3.985,1
1952.79,0,14,3.995,1
1956.36,0,13.1,4.008,1
1959.93,0,13.2,4.02,1
1963.5,0,13.6,4.033,1
1967.07,0,14.6,4.048,1
1970.64,0,13.6,4.062,1
1974.21,0,14.5,4.078,1
1977.78,0,13,4.092,1
1981.35,0,3.2,4.1,1
1984.92,0,2.4,4.102,1
1988.49,0,0,4.103,1
1992.06,0,2.1,4.106,1
1995.63,0,2.1,4.108,1
1999.2,0,2.1,4.111,1
2002.77,0,2.1,4.113,1
2006.34,0,2.1,4.116,1
2009.91,0,2.2,4.118,1
2013.48,0,2.1,4.12,1
2017.05,0,2.1,4.122,1
2020.62,0,2.1,4.124,1
2024.19,0,2.1,4.127,1
2027.76,0,2.2,4.129,1
2031.33,0,2.2,4.131,1
2034.9,0,2.4,4.134,1
2038.47,0,2.1,4.136,1
2042.04,0,2.3,4.138,1
2045.61,0,2.3,4.141,1
2049.18,0,2.4,4.144,1
2052.75,0,2.4,4.146,1
2056.32,0,2.3,4.149,1
2059.89,0,2.7,4.152,1
2063.46,0,2.9,4.155,1
2067.03,0,3,4.158,1
2070.6,0,2.9,4.161,1
2074.17,0,2.5,4.164,1
2077.74,0,2.5,4.167,1
2081.31,0,2.5,4.169,1
2084.88,0,2.3,4.172,1
2088.45,0,1.7,4.174,1
2092.02,0,1.4,4.175,1
2095.59,0,2.6,4.178,1
2099.16,0,4.1,4.181,1
2102.73,0,9.1,4.188,1
2106.3,0,9.1,4.198,1
2109.87,0,8.1,4.207,1
2113.44,0,8.4,4.216,1
2117.01,0,7.9,4.224,1
2120.58,0,7.6,4.233,1
2124.15,0,7.7,4.24,1
2131.29,0,8.4,4.258,1
2134.86,0,7.6,4.266,1
2138.43,0,8.1,4.274,1
2142,0,8.2,4.283,1
2145.57,0,8,4.291,1
2149.14,0,8,4.3,1
2152.71,0,7.5,4.308,1
2156.28,0,7,4.315,1
2159.85,0,6.6,4.323,1
2163.42,0,6.5,4.33,1
2166.99,0,6.5,4.337,1
2170.56,0,6.5,4.344,1
2174.13,0,6,4.35,1
2177.7,0,6,4.357,1
2181.27,0,5.8,4.363,1
2184.84,0,5.4,4.369,1
2188.41,0,5.6,4.376,1
2191.98,0,5.4,4.382,1
2195.55,0,5.6,4.389,1
2199.12,0,6,4.398,1
2202.69,0,6.5,4.406,1
2206.26,0,6.6,4.415,1
2209.83,0,7.9,4.425,1
2213.4,0,7.5,4.436,1
2216.97,0,7.1,4.445,1
2220.54,0,7.3,4.455,1
2224.11,0,6.7,4.463,1
2227.68,0,6.7,4.47,1
2231.25,0,6.9,4.477,1
2234.82,0,7.1,4.484,1
2238.39,0,6.8,4.49,1
2241.96,0,7.2,4.496,1
2245.53,0,6.8,4.503,1
2249.1,0,7.2,4.509,1
2252.67,0,7.1,4.516,1
2256.24,0,6.9,4.522,1
2259.81,0,7.1,4.529,1
2263.38,0,6.9,4.536,1
2266.95,0,7.1,4.543,1
2270.52,0,7.1,4.55,1
2274.09,0,6.6,4.556,1
2277.66,0,6.9,4.563,1
2281.23,0,6.7,4.57,1
2284.8,0,6.6,4.577,1
2288.37,0,6.8,4.584,1
2291.94,0,7.4,4.591,1
2295.51,0,9,4.599,1
2299.08,0,8.3,4.608,1
2302.65,0,7.6,4.616,1
2306.22,0,6.8,4.624,1
2309.79,0,7.9,4.632,1
2313.36,0,7.8,4.641,1
2316.93,0,7.8,4.649,1
2320.5,0,7.3,4.657,1
2324.07,0,7.4,4.665,1
2327.64,0,7.4,4.672,1
2331.21,0,7.9,4.68,1
2334.78,0,7.3,4.688,1
2338.35,0,7.7,4.695,1
2341.92,0,6.9,4.703,1
2345.49,0,6.8,4.711,1
2349.06,0,6.8,4.719,1
2352.63,0,7.1,4.727,1
2356.2,0,7.2,4.736,1
2359.77,0,6.9,4.744,1
2363.34,0,7.1,4.752,1
2366.91,0,7.1,4.76,1
2370.48,0,7.4,4.768,1
2374.05,0,7.4,4.776,1
2377.62,0,7,4.783,1
2381.19,0,7.1,4.791,1
2384.76,0,7.1,4.798,1
2388.33,0,7.3,4.806,1
2391.9,0,7.6,4.814,1
2395.47,0,6.9,4.821,1
2399.04,0,7.7,4.829,1
2402.61,0,7.5,4.837,1
2406.18,0,7.3,4.844,1
2409.75,0,7,4.852,1
2413.32,0,6.8,4.859,1
2416.89,0,7.1,4.867,1
2420.46,0,6.9,4.874,1
2424.03,0,7,4.882,1
2427.6,0,6.5,4.889,1
2431.17,0,6.7,4.897,1
2434.74,0,7.4,4.905,1
2438.31,0,7.4,4.913,1
2441.88,0,7.5,4.921,1
2445.45,0,7.5,4.93,1
2449.02,0,7.1,4.938,1
2452.59,0,7.1,4.946,1
2456.16,0,7.2,4.955,1
2459.73,0,6.9,4.964,1
2463.3,0,6.5,4.972,1
2466.87,0,6.1,4.98,1
2470.44,0,7.6,4.989,1
2474.01,0,7.3,4.998,1
2477.58,0,7.3,5.007,1
2481.15,0,6.7,5.015,1
2484.72,0,7.1,5.022,1
2488.29,0,7.2,5.03,1
2491.86,0,6.6,5.037,1
2495.43,0,7.4,5.044,1
2499,0,7.5,5.052,1
2502.57,0,7.7,5.06,1
2506.14,0,7.4,5.068,1
2509.71,0,7.1,5.076,1
2513.28,0,7,5.083,1
2516.85,0,7.1,5.09,1
2520.42,0,6.9,5.097,1
2523.99,0,6.8,5.103,1
2527.56,0,6.8,5.11,1
2531.13,0,6.6,5.117,1
2534.7,0,6.4,5.125,1
2538.27,0,5.9,5.131,1
2541.84,0,6.2,5.138,1
2545.41,0,6.2,5.145,1
2548.98,0,6.2,5.153,1
2552.55,0,6.1,5.159,1
2556.12,0,6.9,5.168,1
2559.69,0,7.1,5.177,1
2563.26,0,7.4,5.185,1
2566.83,0,7.7,5.194,1
2570.4,0,7.6,5.202,1
2573.97,0,2.3,5.207,1
2577.54,0,0,5.209,1
2581.11,0,0,5.209,1
2584.68,0,0,5.209,1
2588.25,0,0,5.209,1
2591.82,0,1.6,5.211,1
2595.39,0,2.2,5.214,1
